trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'e': 0.9130889403123083, 'a': 0.01}",30,0,-167.6107566154491,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
43,False,"{'e': 0.9089657496748851, 'a': 0.01}",25,0,-142.98043745200442,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
44,False,"{'e': 0.9047516632199635, 'a': 0.01}",20,0,-128.49066033726564,"{0: 12, 1: 1, 2: 2, 3: 4, 4: 1}",0
45,False,"{'e': 0.9004471023526769, 'a': 0.01}",20,0,-78.02889797246635,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
46,False,"{'e': 0.8960524975255253, 'a': 0.01}",20,0,-140.20375894353754,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
47,False,"{'e': 0.8915682881953289, 'a': 0.01}",25,0,-71.38496775682933,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
48,False,"{'e': 0.8869949227792842, 'a': 0.01}",20,0,-182.71090560512988,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
49,False,"{'e': 0.8823328586101216, 'a': 0.01}",20,0,-121.17600459803013,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
50,False,"{'e': 0.8775825618903728, 'a': 0.01}",20,0,-22.941696031904357,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
51,False,"{'e': 0.8727445076457513, 'a': 0.01}",20,0,-107.36798614707038,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
52,False,"{'e': 0.8678191796776499, 'a': 0.01}",20,7,-31.891780551144638,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
53,False,"{'e': 0.862807070514761, 'a': 0.01}",20,1,-44.27958857876871,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 0}",1
54,False,"{'e': 0.8577086813638242, 'a': 0.01}",25,0,-106.40936783985543,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
55,False,"{'e': 0.8525245220595057, 'a': 0.01}",25,0,-15.381857598480229,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
56,False,"{'e': 0.8472551110134161, 'a': 0.01}",25,0,-56.164557554992,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
57,False,"{'e': 0.8419009751622687, 'a': 0.01}",20,0,-74.05151551461424,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
58,False,"{'e': 0.8364626499151869, 'a': 0.01}",25,0,-7.3177129281744655,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
59,False,"{'e': 0.8309406791001634, 'a': 0.01}",20,0,-166.3133852732208,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
60,False,"{'e': 0.8253356149096783, 'a': 0.01}",30,0,-81.10967112216409,"{0: 20, 1: 4, 2: 3, 3: 3, 4: 0}",0
61,False,"{'e': 0.8196480178454795, 'a': 0.01}",35,7,-216.4879485648508,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 4}",1
62,False,"{'e': 0.8138784566625339, 'a': 0.01}",20,0,-140.33097055517277,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
63,False,"{'e': 0.8080275083121519, 'a': 0.01}",30,0,-118.17707973339925,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
64,False,"{'e': 0.8020957578842927, 'a': 0.01}",20,0,-117.36435180701228,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
65,False,"{'e': 0.7960837985490559, 'a': 0.01}",30,0,-68.58822912362031,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
66,False,"{'e': 0.7899922314973651, 'a': 0.01}",25,0,-126.87909192885145,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
67,False,"{'e': 0.7838216658808492, 'a': 0.01}",25,17,-0.6808825789829791,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'e': 0.7775727187509279, 'a': 0.01}",25,5,-7.788453419430748,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
69,False,"{'e': 0.7712460149971065, 'a': 0.01}",20,0,-42.58453620356057,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
70,False,"{'e': 0.7648421872844884, 'a': 0.01}",25,8,-73.92902591778336,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 1}",1
71,False,"{'e': 0.7583618759905082, 'a': 0.01}",30,4,-33.90973941345775,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 0}",1
72,False,"{'e': 0.751805729140895, 'a': 0.01}",30,10,-143.93992616379646,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",1
73,False,"{'e': 0.7451744023448704, 'a': 0.01}",20,0,-115.65116805954976,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
74,False,"{'e': 0.7384685587295879, 'a': 0.01}",20,6,16.014858638580158,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'e': 0.7316888688738209, 'a': 0.01}",25,0,-58.81357152087911,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
76,False,"{'e': 0.7248360107409052, 'a': 0.01}",20,0,-109.63200445224739,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
77,False,"{'e': 0.7179106696109434, 'a': 0.01}",35,19,-148.0531221077064,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 3}",1
78,False,"{'e': 0.7109135380122773, 'a': 0.01}",20,1,-55.61987326188188,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 0}",1
79,False,"{'e': 0.7038453156522362, 'a': 0.01}",25,0,-142.31448794474318,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",1
80,False,"{'e': 0.6967067093471655, 'a': 0.01}",20,0,-49.67367519682998,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
81,False,"{'e': 0.6894984329517471, 'a': 0.01}",30,0,-153.72853963444223,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
82,False,"{'e': 0.6822212072876136, 'a': 0.01}",20,0,-62.05572744715478,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
83,False,"{'e': 0.6748757600712672, 'a': 0.01}",20,0,-90.27761428375929,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
84,False,"{'e': 0.6674628258413082, 'a': 0.01}",20,0,-77.24344223923008,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",1
85,False,"{'e': 0.6599831458849822, 'a': 0.01}",20,14,0.9398714153533207,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'e': 0.6524374681640519, 'a': 0.01}",30,0,-115.5945120376851,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
87,False,"{'e': 0.6448265472400012, 'a': 0.01}",20,0,-77.6903408310377,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
88,False,"{'e': 0.6371511441985802, 'a': 0.01}",20,11,-14.055586271715459,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
89,False,"{'e': 0.6294120265736969, 'a': 0.01}",30,6,-51.408197222627805,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 0}",1
90,False,"{'e': 0.6216099682706645, 'a': 0.01}",20,0,-17.871608345291673,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
91,False,"{'e': 0.6137457494888116, 'a': 0.01}",25,0,-76.34842772070793,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
92,False,"{'e': 0.6058201566434629, 'a': 0.01}",25,9,3.9746985579806804,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
93,False,"{'e': 0.5978339822872982, 'a': 0.01}",20,0,-68.98007768105718,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
94,False,"{'e': 0.5897880250310983, 'a': 0.01}",25,16,2.9858812382281816,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'e': 0.5816830894638835, 'a': 0.01}",20,7,9.261909029153365,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'e': 0.5735199860724567, 'a': 0.01}",25,3,-46.36007399104804,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 0}",1
97,False,"{'e': 0.5652995311603544, 'a': 0.01}",20,12,1.1309523696997654,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'e': 0.5570225467662173, 'a': 0.01}",20,0,-57.58316246635117,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
99,False,"{'e': 0.5486898605815876, 'a': 0.01}",25,15,18.941648234764163,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'e': 0.5403023058681398, 'a': 0.01}",20,11,7.525307291515956,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'e': 0.5318607213743555, 'a': 0.01}",20,8,-11.304728470113945,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
102,False,"{'e': 0.5233659512516496, 'a': 0.01}",25,0,-27.546510578377273,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
103,False,"{'e': 0.5148188449699553, 'a': 0.01}",25,5,-42.30052013364678,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",1
104,False,"{'e': 0.5062202572327784, 'a': 0.01}",20,2,-9.572302263277251,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
105,False,"{'e': 0.497571047891727, 'a': 0.01}",20,0,22.836259136929534,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
106,False,"{'e': 0.48887208186052755, 'a': 0.01}",35,0,-30.059768748699334,"{0: 30, 1: 2, 2: 2, 3: 0, 4: 1}",0
107,False,"{'e': 0.48012422902853413, 'a': 0.01}",25,7,-2.427982679545586,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
108,False,"{'e': 0.47132836417373997, 'a': 0.01}",25,14,-28.748257214947234,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
109,False,"{'e': 0.4624853668753008, 'a': 0.01}",20,0,13.505062377061808,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
110,False,"{'e': 0.4535961214255773, 'a': 0.01}",25,0,-48.08349145125532,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
111,False,"{'e': 0.44466151674170673, 'a': 0.01}",30,18,11.037281591634342,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'e': 0.43568244627671204, 'a': 0.01}",25,9,-14.54032909404497,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
113,False,"{'e': 0.42665980793015723, 'a': 0.01}",20,0,-28.611022500025975,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
114,False,"{'e': 0.41759450395835795, 'a': 0.01}",20,0,4.800420882687706,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
115,False,"{'e': 0.40848744088415717, 'a': 0.01}",20,0,-17.56901443233659,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
116,False,"{'e': 0.3993395294062732, 'a': 0.01}",25,0,-28.43611266863007,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
117,False,"{'e': 0.3901516843082303, 'a': 0.01}",20,14,12.716926800513356,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'e': 0.3809248243668818, 'a': 0.01}",20,11,14.228454840657177,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'e': 0.371659872260533, 'a': 0.01}",25,5,-8.893427844657277,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
