trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
30,True,"{'e': 0, 'a': 0}",25,15,22.132845089447613,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'e': 0, 'a': 0}",20,14,10.852879185352808,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'e': 0, 'a': 0}",20,8,18.6453573905782,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'e': 0, 'a': 0}",20,8,23.973853901279988,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'e': 0, 'a': 0}",20,8,23.6535874033918,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'e': 0, 'a': 0}",20,12,17.059064052768058,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'e': 0, 'a': 0}",30,8,36.432373421998385,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'e': 0, 'a': 0}",20,5,27.141019941920142,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'e': 0, 'a': 0}",25,20,11.629751356098014,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,True,"{'e': 0, 'a': 0}",25,17,15.871753568661887,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'e': 0, 'a': 0}",20,6,23.41956350816525,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,True,"{'e': 0, 'a': 0}",30,19,18.20734923253558,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,True,"{'e': 0, 'a': 0}",20,10,17.963507593576246,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'e': 0, 'a': 0}",30,22,14.449563698562603,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,True,"{'e': 0, 'a': 0}",25,16,16.82122036678313,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,True,"{'e': 0, 'a': 0}",20,9,20.708083173484198,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,True,"{'e': 0, 'a': 0}",30,17,25.502478634196173,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,True,"{'e': 0, 'a': 0}",30,18,24.559390394230213,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,True,"{'e': 0, 'a': 0}",25,15,19.245834680965377,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'e': 0, 'a': 0}",30,18,20.718269100417878,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,True,"{'e': 0, 'a': 0}",25,15,18.38244617736129,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,True,"{'e': 0, 'a': 0}",30,20,19.664445819951204,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,True,"{'e': 0, 'a': 0}",20,13,13.704574275041221,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,True,"{'e': 0, 'a': 0}",35,20,25.89740287926797,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,True,"{'e': 0, 'a': 0}",30,13,31.573835396035925,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,True,"{'e': 0, 'a': 0}",25,13,23.67216911431274,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,True,"{'e': 0, 'a': 0}",25,16,15.068752198284308,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,True,"{'e': 0, 'a': 0}",30,23,14.072290185100076,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,True,"{'e': 0, 'a': 0}",20,13,15.105330815080302,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,True,"{'e': 0, 'a': 0}",20,13,13.726015815909477,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,True,"{'e': 0, 'a': 0}",30,16,28.15399905368956,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,True,"{'e': 0, 'a': 0}",25,12,25.150415548329324,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,True,"{'e': 0, 'a': 0}",20,0,35.31609859492308,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,True,"{'e': 0, 'a': 0}",35,18,32.19705226416175,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,True,"{'e': 0, 'a': 0}",20,8,20.409273088164415,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,True,"{'e': 0, 'a': 0}",20,9,17.172079233462373,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,True,"{'e': 0, 'a': 0}",35,19,30.24524192164597,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,True,"{'e': 0, 'a': 0}",20,6,26.8290455292826,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,True,"{'e': 0, 'a': 0}",20,11,16.595160707384338,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,True,"{'e': 0, 'a': 0}",25,0,42.05333138299561,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
70,True,"{'e': 0, 'a': 0}",20,15,10.736580217079743,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,True,"{'e': 0, 'a': 0}",25,15,21.785819528606662,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,True,"{'e': 0, 'a': 0}",20,6,25.812475846958282,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,True,"{'e': 0, 'a': 0}",25,9,29.30552990402423,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,True,"{'e': 0, 'a': 0}",25,8,27.284353791094855,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,True,"{'e': 0, 'a': 0}",20,4,-12.34273381733517,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
76,True,"{'e': 0, 'a': 0}",20,0,24.538935017594916,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,True,"{'e': 0, 'a': 0}",20,14,10.127179479537745,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,True,"{'e': 0, 'a': 0}",20,3,30.093623968694285,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,True,"{'e': 0, 'a': 0}",20,8,17.85387347030486,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,True,"{'e': 0, 'a': 0}",25,9,32.061555365808054,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,True,"{'e': 0, 'a': 0}",20,10,18.394485574434853,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,True,"{'e': 0, 'a': 0}",20,13,15.305393986145734,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,True,"{'e': 0, 'a': 0}",20,6,24.641551846661343,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,True,"{'e': 0, 'a': 0}",30,18,19.891375351512423,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,True,"{'e': 0, 'a': 0}",25,10,30.009528648432603,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,True,"{'e': 0, 'a': 0}",20,8,24.23388321610021,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,True,"{'e': 0, 'a': 0}",20,5,26.29386440237119,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,True,"{'e': 0, 'a': 0}",30,20,18.403302728235964,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,True,"{'e': 0, 'a': 0}",25,13,22.22003222511859,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,True,"{'e': 0, 'a': 0}",25,5,36.05718525935394,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,True,"{'e': 0, 'a': 0}",30,20,16.094815262388483,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,True,"{'e': 0, 'a': 0}",30,15,28.93757314099873,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,True,"{'e': 0, 'a': 0}",25,16,18.067010627219492,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,True,"{'e': 0, 'a': 0}",30,19,19.117983887910345,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,True,"{'e': 0, 'a': 0}",25,8,30.253478265047764,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,True,"{'e': 0, 'a': 0}",25,13,22.958778602359597,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,True,"{'e': 0, 'a': 0}",30,16,28.015561618885716,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,True,"{'e': 0, 'a': 0}",25,6,26.750304835936465,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,True,"{'e': 0, 'a': 0}",20,16,9.07797157661386,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,True,"{'e': 0, 'a': 0}",30,22,15.011415366088752,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
